id,review,sentiment
669,Toko terpercaya dan pengiriman cepat,positif
670,"Pelayanan ramah dan responsif, recommended seller",positif
671,Puas sekali dengan pelayanan dan kualitas barang,positif
672,Toko terpercaya dan pengiriman cepat,positif
673,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
674,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
675,Sangat puas dengan kualitas dan pelayanannya,positif
676,Puas sekali dengan pelayanan dan kualitas barang,positif
677,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
678,Penjual tidak responsif saat komplain,negatif
679,Sangat puas dengan kualitas dan pelayanannya,positif
680,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
681,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
682,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
683,Penjual tidak responsif saat komplain,negatif
684,Barang sampai dengan cepat dan kualitas bagus,positif
685,Sangat puas dengan kualitas dan pelayanannya,positif
686,Sangat puas dengan kualitas dan pelayanannya,positif
687,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
688,Barang bekas dikirimkan sebagai baru,negatif
689,"Barang rusak, tidak bisa dipakai",negatif
690,Barang sampai dengan cepat dan kualitas bagus,positif
691,"Produk bagus, akan order lagi lain waktu",positif
692,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
693,Produk datang telat dan tidak lengkap,negatif
694,Puas sekali dengan pelayanan dan kualitas barang,positif
695,"Pelayanan ramah dan responsif, recommended seller",positif
696,"Barang asli dan harga terjangkau, sangat puas",positif
697,Toko terpercaya dan pengiriman cepat,positif
698,"Barang asli dan harga terjangkau, sangat puas",positif
699,"Pelayanan ramah dan responsif, recommended seller",positif
700,Toko terpercaya dan pengiriman cepat,positif
701,"Pelayanan ramah dan responsif, recommended seller",positif
702,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
703,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
704,"Harga murah dan kualitas sebanding, sangat puas",positif
705,Puas sekali dengan pelayanan dan kualitas barang,positif
706,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
707,"Barang asli dan harga terjangkau, sangat puas",positif
708,Puas sekali dengan pelayanan dan kualitas barang,positif
709,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
710,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
711,Toko terpercaya dan pengiriman cepat,positif
712,Puas sekali dengan pelayanan dan kualitas barang,positif
713,Puas sekali dengan pelayanan dan kualitas barang,positif
714,Toko terpercaya dan pengiriman cepat,positif
715,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
716,Produk datang telat dan tidak lengkap,negatif
717,Produk datang telat dan tidak lengkap,negatif
718,Puas sekali dengan pelayanan dan kualitas barang,positif
719,"Produk bagus, akan order lagi lain waktu",positif
720,"Produk bagus, akan order lagi lain waktu",positif
721,Penjual tidak responsif saat komplain,negatif
722,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
723,Penjual tidak responsif saat komplain,negatif
724,Barang sampai dengan cepat dan kualitas bagus,positif
725,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
726,"Pelayanan ramah dan responsif, recommended seller",positif
727,"Tidak sesuai deskripsi, kualitas buruk",negatif
728,Toko terpercaya dan pengiriman cepat,positif
729,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
730,Toko terpercaya dan pengiriman cepat,positif
731,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
732,"Tidak sesuai deskripsi, kualitas buruk",negatif
733,Barang sampai dengan cepat dan kualitas bagus,positif
734,"Barang asli dan harga terjangkau, sangat puas",positif
735,"Barang rusak, tidak bisa dipakai",negatif
736,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
737,"Produk bagus, akan order lagi lain waktu",positif
738,"Tidak sesuai deskripsi, kualitas buruk",negatif
739,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
740,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
741,"Barang asli dan harga terjangkau, sangat puas",positif
742,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
743,Barang bekas dikirimkan sebagai baru,negatif
744,"Barang asli dan harga terjangkau, sangat puas",positif
745,Puas sekali dengan pelayanan dan kualitas barang,positif
746,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
747,Barang bekas dikirimkan sebagai baru,negatif
748,Produk datang telat dan tidak lengkap,negatif
749,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
750,Puas sekali dengan pelayanan dan kualitas barang,positif
751,"Barang asli dan harga terjangkau, sangat puas",positif
752,Puas sekali dengan pelayanan dan kualitas barang,positif
753,Barang datang dalam kondisi rusak,negatif
754,"Pelayanan ramah dan responsif, recommended seller",positif
755,Sangat puas dengan kualitas dan pelayanannya,positif
756,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
757,Barang bekas dikirimkan sebagai baru,negatif
758,Barang bekas dikirimkan sebagai baru,negatif
759,"Barang rusak, tidak bisa dipakai",negatif
760,Barang datang dalam kondisi rusak,negatif
761,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
762,"Harga murah dan kualitas sebanding, sangat puas",positif
763,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
764,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
765,"Harga murah dan kualitas sebanding, sangat puas",positif
766,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
767,"Barang rusak, tidak bisa dipakai",negatif
768,"Tidak sesuai deskripsi, kualitas buruk",negatif
769,"Tidak sesuai deskripsi, kualitas buruk",negatif
770,"Barang asli dan harga terjangkau, sangat puas",positif
771,Produk datang telat dan tidak lengkap,negatif
772,Sangat puas dengan kualitas dan pelayanannya,positif
773,"Harga murah dan kualitas sebanding, sangat puas",positif
774,Produk datang telat dan tidak lengkap,negatif
775,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
776,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
777,Puas sekali dengan pelayanan dan kualitas barang,positif
778,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
779,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
780,Pengemasan sangat rapi dan pengiriman cepat,positif
781,"Produk bagus, akan order lagi lain waktu",positif
782,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
783,Toko terpercaya dan pengiriman cepat,positif
784,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
785,Barang datang dalam kondisi rusak,negatif
786,Barang datang dalam kondisi rusak,negatif
787,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
788,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
789,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
790,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
791,"Barang rusak, tidak bisa dipakai",negatif
792,"Tidak sesuai deskripsi, kualitas buruk",negatif
793,Penjual tidak responsif saat komplain,negatif
794,"Harga murah dan kualitas sebanding, sangat puas",positif
795,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
796,Sangat puas dengan kualitas dan pelayanannya,positif
797,Pengemasan sangat rapi dan pengiriman cepat,positif
798,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
799,Barang datang dalam kondisi rusak,negatif
800,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
801,Sangat puas dengan kualitas dan pelayanannya,positif
802,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
803,"Barang asli dan harga terjangkau, sangat puas",positif
804,Barang bekas dikirimkan sebagai baru,negatif
805,"Harga murah dan kualitas sebanding, sangat puas",positif
806,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
807,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
808,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
809,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
810,Barang sampai dengan cepat dan kualitas bagus,positif
811,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
812,"Harga murah dan kualitas sebanding, sangat puas",positif
813,Produk datang telat dan tidak lengkap,negatif
814,"Barang rusak, tidak bisa dipakai",negatif
815,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
816,Barang sampai dengan cepat dan kualitas bagus,positif
817,Puas sekali dengan pelayanan dan kualitas barang,positif
818,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
819,"Produk bagus, akan order lagi lain waktu",positif
820,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
821,Produk datang telat dan tidak lengkap,negatif
822,"Harga murah dan kualitas sebanding, sangat puas",positif
823,Barang sampai dengan cepat dan kualitas bagus,positif
824,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
825,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
826,"Barang rusak, tidak bisa dipakai",negatif
827,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
828,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
829,"Tidak sesuai deskripsi, kualitas buruk",negatif
830,Barang datang dalam kondisi rusak,negatif
831,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
832,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
833,Barang sampai dengan cepat dan kualitas bagus,positif
834,"Pelayanan ramah dan responsif, recommended seller",positif
835,Puas sekali dengan pelayanan dan kualitas barang,positif
836,Produk datang telat dan tidak lengkap,negatif
837,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
838,"Barang asli dan harga terjangkau, sangat puas",positif
839,Barang bekas dikirimkan sebagai baru,negatif
840,Puas sekali dengan pelayanan dan kualitas barang,positif
841,"Produk bagus, akan order lagi lain waktu",positif
842,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
843,"Produk bagus, akan order lagi lain waktu",positif
844,Pengemasan sangat rapi dan pengiriman cepat,positif
845,Pengemasan sangat rapi dan pengiriman cepat,positif
846,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
847,"Tidak sesuai deskripsi, kualitas buruk",negatif
848,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
849,Barang sampai dengan cepat dan kualitas bagus,positif
850,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
851,Barang sampai dengan cepat dan kualitas bagus,positif
852,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
853,"Barang asli dan harga terjangkau, sangat puas",positif
854,Sangat puas dengan kualitas dan pelayanannya,positif
855,Barang datang dalam kondisi rusak,negatif
856,"Harga murah dan kualitas sebanding, sangat puas",positif
857,"Produk bagus, akan order lagi lain waktu",positif
858,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
859,"Pelayanan ramah dan responsif, recommended seller",positif
860,"Barang rusak, tidak bisa dipakai",negatif
861,"Harga murah dan kualitas sebanding, sangat puas",positif
862,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
863,"Barang asli dan harga terjangkau, sangat puas",positif
864,Penjual tidak responsif saat komplain,negatif
865,Sangat puas dengan kualitas dan pelayanannya,positif
866,"Produk bagus, akan order lagi lain waktu",positif
867,Barang sampai dengan cepat dan kualitas bagus,positif
868,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
869,Barang datang dalam kondisi rusak,negatif
870,Barang sampai dengan cepat dan kualitas bagus,positif
871,Puas sekali dengan pelayanan dan kualitas barang,positif
872,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
873,Barang bekas dikirimkan sebagai baru,negatif
874,Barang sampai dengan cepat dan kualitas bagus,positif
875,Toko terpercaya dan pengiriman cepat,positif
876,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
877,"Pelayanan ramah dan responsif, recommended seller",positif
878,Puas sekali dengan pelayanan dan kualitas barang,positif
879,Sangat puas dengan kualitas dan pelayanannya,positif
880,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
881,Barang bekas dikirimkan sebagai baru,negatif
882,"Barang asli dan harga terjangkau, sangat puas",positif
883,"Pelayanan ramah dan responsif, recommended seller",positif
884,"Tidak sesuai deskripsi, kualitas buruk",negatif
885,"Barang asli dan harga terjangkau, sangat puas",positif
886,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
887,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
888,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
889,"Tidak sesuai deskripsi, kualitas buruk",negatif
890,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
891,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
892,Penjual tidak responsif saat komplain,negatif
893,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
894,"Harga murah dan kualitas sebanding, sangat puas",positif
895,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
896,"Produk bagus, akan order lagi lain waktu",positif
897,Barang bekas dikirimkan sebagai baru,negatif
898,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
899,"Barang rusak, tidak bisa dipakai",negatif
900,Penjual tidak responsif saat komplain,negatif
901,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
902,Barang bekas dikirimkan sebagai baru,negatif
903,"Barang asli dan harga terjangkau, sangat puas",positif
904,"Barang rusak, tidak bisa dipakai",negatif
905,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
906,"Produk bagus, akan order lagi lain waktu",positif
907,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
908,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
909,"Tidak sesuai deskripsi, kualitas buruk",negatif
910,"Pelayanan ramah dan responsif, recommended seller",positif
911,Sangat puas dengan kualitas dan pelayanannya,positif
912,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
913,Barang datang dalam kondisi rusak,negatif
914,"Barang rusak, tidak bisa dipakai",negatif
915,"Barang asli dan harga terjangkau, sangat puas",positif
916,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
917,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
918,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
919,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
920,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
921,Barang sampai dengan cepat dan kualitas bagus,positif
922,"Tidak sesuai deskripsi, kualitas buruk",negatif
923,"Harga murah dan kualitas sebanding, sangat puas",positif
924,Pengemasan sangat rapi dan pengiriman cepat,positif
925,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
926,"Barang rusak, tidak bisa dipakai",negatif
927,Puas sekali dengan pelayanan dan kualitas barang,positif
928,Penjual tidak responsif saat komplain,negatif
929,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
930,"Barang rusak, tidak bisa dipakai",negatif
931,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
932,Produk datang telat dan tidak lengkap,negatif
933,Puas sekali dengan pelayanan dan kualitas barang,positif
934,Produk datang telat dan tidak lengkap,negatif
935,Toko terpercaya dan pengiriman cepat,positif
936,Barang sampai dengan cepat dan kualitas bagus,positif
937,Puas sekali dengan pelayanan dan kualitas barang,positif
938,Penjual tidak responsif saat komplain,negatif
939,Produk datang telat dan tidak lengkap,negatif
940,Puas sekali dengan pelayanan dan kualitas barang,positif
941,Puas sekali dengan pelayanan dan kualitas barang,positif
942,Barang bekas dikirimkan sebagai baru,negatif
943,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
944,Puas sekali dengan pelayanan dan kualitas barang,positif
945,"Produk bagus, akan order lagi lain waktu",positif
946,Barang sampai dengan cepat dan kualitas bagus,positif
947,Sangat puas dengan kualitas dan pelayanannya,positif
948,Pengemasan sangat rapi dan pengiriman cepat,positif
949,"Harga murah dan kualitas sebanding, sangat puas",positif
950,"Barang asli dan harga terjangkau, sangat puas",positif
951,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
952,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
953,"Tidak sesuai deskripsi, kualitas buruk",negatif
954,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
955,"Pelayanan ramah dan responsif, recommended seller",positif
956,Pengemasan sangat rapi dan pengiriman cepat,positif
957,Barang sampai dengan cepat dan kualitas bagus,positif
958,Sangat puas dengan kualitas dan pelayanannya,positif
959,Barang datang dalam kondisi rusak,negatif
960,"Harga murah dan kualitas sebanding, sangat puas",positif
961,Produk datang telat dan tidak lengkap,negatif
962,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
963,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
964,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
965,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
966,"Pelayanan ramah dan responsif, recommended seller",positif
967,"Tidak sesuai deskripsi, kualitas buruk",negatif
968,Pengemasan sangat rapi dan pengiriman cepat,positif
969,"Barang asli dan harga terjangkau, sangat puas",positif
970,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
971,Puas sekali dengan pelayanan dan kualitas barang,positif
972,Penjual tidak responsif saat komplain,negatif
973,"Barang rusak, tidak bisa dipakai",negatif
974,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
975,Barang datang dalam kondisi rusak,negatif
976,Sangat puas dengan kualitas dan pelayanannya,positif
977,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
978,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
979,Sangat puas dengan kualitas dan pelayanannya,positif
980,"Tidak sesuai deskripsi, kualitas buruk",negatif
981,Toko terpercaya dan pengiriman cepat,positif
982,"Barang rusak, tidak bisa dipakai",negatif
983,"Pelayanan ramah dan responsif, recommended seller",positif
984,"Barang asli dan harga terjangkau, sangat puas",positif
985,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
986,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
987,Barang datang dalam kondisi rusak,negatif
988,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
989,"Barang asli dan harga terjangkau, sangat puas",positif
990,"Tidak sesuai deskripsi, kualitas buruk",negatif
991,Toko terpercaya dan pengiriman cepat,positif
992,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
993,Toko terpercaya dan pengiriman cepat,positif
994,Sangat puas dengan kualitas dan pelayanannya,positif
995,Penjual tidak responsif saat komplain,negatif
996,"Tidak sesuai deskripsi, kualitas buruk",negatif
997,"Tidak sesuai deskripsi, kualitas buruk",negatif
998,Toko terpercaya dan pengiriman cepat,positif
999,Barang sampai dengan cepat dan kualitas bagus,positif
1000,Puas sekali dengan pelayanan dan kualitas barang,positif
